listing_id,title,provider,provider_type,source_url,verified_at,verified_by,verification,cost_one_off_sgd,cost_recurring_sgd,equipment_cost_sgd,venue_name,postal_code,planning_area,nearest_mrt,age_min,age_max,beginner_friendly,join_alone_ok,guest_allowed,commitment,schedule_kind,weekday,start_time,duration_min,first_session,num_sessions,fixed_dates,open_hours_note,vibes,in_incumbent_directory,notes,weekday_evening_available,weekend_available
NLB-5971674,Lee Studio Presents TSS Vocal Gala | When Dreams Take Flight,National Library Board,third_space,https://nlb.libcal.com/event/5971674,,,unverified,,0,0,CAL - National Library Building - Lobby (Level 1),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-11T19:00,,artistic,yes,"campus: Central Arts Library · categories: Areas of Interest > Art & Creativity, Event Type > Performance, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914823,MOLLY Weekend Outreach @ 703 Woodlands Drive 40,National Library Board,third_space,https://nlb.libcal.com/event/5914823,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T09:00,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914180,Understanding Brain Rot: A Neuroscience Perspective | Reading in the Age of Distraction,National Library Board,third_space,https://nlb.libcal.com/event/5914180,,,unverified,,0,0,,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T10:00,,chill|explorative,yes,"campus: ? · categories: Areas of Interest > Reading, Event Type > Talk, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5915914,[LOLA 2026] BLOOMING Coaster-making Workshop,National Library Board,third_space,https://nlb.libcal.com/event/5915914,,,unverified,,0,0,Tampines Library - Terrace on 4 (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T11:00,,artistic,yes,"campus: Tampines Library · categories: Areas of Interest > Art & Creativity, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971425,PUBLIC TOUR | THE ALBATROSS FILE,National Library Board,third_space,https://nlb.libcal.com/event/5971425,,,unverified,,0,0,National Library Building - Gallery (Level 10),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T11:10,,explorative,yes,"campus: National Library Building · categories: Areas of Interest > Singapore, Event Type > Tour, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5916424,"Amazon Think Big Program Workshop Series - Arcade Lab: Code a ""Fruit Ninja"" Style Game",National Library Board,third_space,https://nlb.libcal.com/event/5916424,,,unverified,,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T13:00,,explorative,yes,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914824,MOLLY Weekend Outreach @ Tengah Community Club,National Library Board,third_space,https://nlb.libcal.com/event/5914824,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T13:30,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971097,3D Starter Session @ Tampines Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971097,,,unverified,,0,0,Tampines Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T15:00,,artistic|explorative,yes,"campus: Tampines Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971657,Cut Videos That Click @ Woodlands Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971657,,,unverified,,0,0,Woodlands Library - MakeIT (Level 3),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T15:00,,explorative,yes,"campus: Woodlands Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971096,Sewing Starter Session @ Punggol Library | MakeIT,National Library Board,third_space,https://nlb.libcal.com/event/5971096,,,unverified,,0,0,Punggol Library - MakeIT (Level 4),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T15:00,,artistic|explorative,yes,"campus: Punggol Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5972305,"Amazon Think Big Program Workshop Series - Bot Builders: Design, Build, and Compete!",National Library Board,third_space,https://nlb.libcal.com/event/5972305,,,unverified,,0,0,Jurong Library - MakeIT (Level 2),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-12T15:30,,explorative,yes,"campus: Jurong Library · categories: Areas of Interest > Technology, Event Type > Workshop, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5914825,MOLLY Weekend Outreach @ Yishun Mall,National Library Board,third_space,https://nlb.libcal.com/event/5914825,,,unverified,,0,0,Others,,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-13T09:00,,chill,yes,"campus: Others · categories: Areas of Interest > Accessible, Areas of Interest > Reading, Event Type > Experiential Event, Language > English · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
NLB-5971428,PUBLIC TOUR | THE ALBATROSS FILE (IN CHINESE),National Library Board,third_space,https://nlb.libcal.com/event/5971428,,,unverified,,0,0,National Library Building - Gallery (Level 10),,,,13,17,,,,one_off,fixed_dates,,,,,,2026-09-13T11:10,,explorative,yes,"campus: National Library Building · categories: Areas of Interest > Singapore, Event Type > Tour, Language > Chinese · cost not stated — confirm and enter 0 only if free · DRAFT from libcal API — open the link and verify before using",,
